Nama;Address;Type;Class;District;Province;Hospital
RSU Bakti Timah;Jl. Bukit Baru No.1,Pangkal Pinang;A;C;Bangka;Bangka Belitung;rs
RSUD Kab.Bangka Tengah;Jl. By Pass Koba,bangka Tengah;A;D;Bangka Tengah;Bangka Belitung;rs
RSUD Sejiran Setason;Jl. Kadur Dalam Muntok Bangka Barat;A;D;Bangka Barat;Bangka Belitung;rs
RSU Sungai Liat;Jl. Jend Sudirman 195,Sungailiat;A;C;Bangka;Bangka Belitung;rs
RS Jiwa Sungai Liat;Jl. Jend Sudirman,Sungai Liat;B;B;Bangka;Bangka Belitung;rs
RSUD Kabupaten Belitung;Jl. Melati Tajung Pandan,Kab.Belitung;A;C;Belitung;Bangka Belitung;rs
RSUD Toboali Kab.Bangka Selatan;Jl. Raya Gadung Toboali;A;D;Bangka Selatan;Bangka Belitung;rs
RSUD Kab.Belitung Timur;Jl. Raya Gantung Ds. Padang Belitung Timur;A;D;Belitung Timur;Bangka Belitung;rs
RSUD Depati Hamzah;Jl. Soekarno Hatta,Pk Pinang;A;C;Pangkal Pinang;Bangka Belitung;rs
RSUP Persahabatan;Jl. Raya Persahabatan,Jaktim;A;B;Kota Jakarta Timur;DKI Jakarta;rs
RS Manuela;Jl. Mangga Besar VIII/23 Jakbar;A;C;Kota Jakarta Barat;DKI Jakarta;rs
RSUP Fatmawati;Jl. RS Fatmawati Cilandak,Jaksel;A;A;Kota Jakarta Selatan;DKI Jakarta;rs
RSUD Budhi Asih;Jl. Dewi Sartika, Cawang III/ 200,Jakarta Timur;A;B;Kota Jakarta Timur;DKI Jakarta;rs
RS Kramat 128;Jl. Kramat Raya No.128,Jakpus;A;C;Jakarta Pusat;DKI Jakarta;rs
RS Sumber Waras;Jl. Kiyai Tapa Grogol Jakbar;A;b;Kota Jakarta Barat;DKI Jakarta;rs
RS Mitra Keluarga Kelapa Gading;Jl. Bukit Gading Raya Kav.2;A;B;Kota Jakarta Utara;DKI Jakarta;rs
Rumkit Tk II M.Ridwan Meuraksa;Jl. Kramat Raya No.174, Jakarta Pusat;A;2;Kota Jakarta Pusat;DKI Jakarta;rs
